agent_id,state,location,battery_level,money,carrying,nearby_agents
agent_0,Foraging,[21 20],80,50.0,False,9
agent_1,Foraging,[21 20],80,50.0,False,9
agent_2,Foraging,[21 20],80,50.0,False,9
agent_3,Foraging,[21 20],80,50.0,False,9
agent_4,Foraging,[21 20],80,50.0,False,9
agent_5,Foraging,[21 20],80,50.0,False,9
agent_6,Foraging,[21 20],80,50.0,False,9
agent_7,Foraging,[21 20],80,50.0,False,9
agent_8,Foraging,[21 20],80,50.0,False,9
agent_9,Foraging,[21 20],80,50.0,False,9
agent_0,Foraging,[21 21],79,50.0,False,9
agent_1,Foraging,[22 20],79,50.0,False,9
agent_2,Foraging,[20 20],79,50.0,False,9
agent_3,Foraging,[21 19],79,50.0,False,9
agent_4,Foraging,[20 20],79,50.0,False,9
agent_5,Foraging,[21 20],79,50.0,False,9
agent_6,Foraging,[20 20],79,50.0,False,9
agent_7,Foraging,[20 20],79,50.0,False,9
agent_8,Foraging,[20 20],79,50.0,False,9
agent_9,Foraging,[20 20],79,50.0,False,9
agent_0,Foraging,[21 22],78,50.0,False,9
agent_1,Foraging,[23 20],78,50.0,False,9
agent_2,Foraging,[19 20],78,50.0,False,9
agent_3,Foraging,[21 18],78,50.0,False,9
agent_4,Foraging,[20 21],78,50.0,False,9
agent_5,Foraging,[22 20],78,50.0,False,9
agent_6,Foraging,[20 19],78,50.0,False,9
agent_7,Foraging,[20 20],78,50.0,False,9
agent_8,Foraging,[20 20],78,50.0,False,9
agent_9,Foraging,[20 20],78,50.0,False,9
agent_0,Foraging,[21 23],77,50.0,False,9
agent_1,Foraging,[23 21],77,50.0,False,9
agent_2,Foraging,[19 21],77,50.0,False,9
agent_3,Foraging,[21 19],77,50.0,False,9
agent_4,Foraging,[20 22],77,50.0,False,9
agent_5,Foraging,[23 20],77,50.0,False,9
agent_6,Foraging,[20 18],77,50.0,False,9
agent_7,Foraging,[20 21],77,50.0,False,9
agent_8,Foraging,[19 20],77,50.0,False,9
agent_9,Foraging,[21 20],77,50.0,False,9
agent_0,Foraging,[20 23],76,50.0,False,9
agent_1,Foraging,[22 21],76,50.0,False,9
agent_2,Foraging,[18 21],76,50.0,False,8
agent_3,Foraging,[20 19],76,50.0,False,9
agent_4,Foraging,[19 22],76,50.0,False,9
agent_5,Foraging,[24 20],76,50.0,False,7
agent_6,Foraging,[21 18],76,50.0,False,9
agent_7,Foraging,[19 21],76,50.0,False,8
agent_8,Foraging,[18 20],76,50.0,False,8
agent_9,Foraging,[20 20],76,50.0,False,9
agent_0,Foraging,[19 23],75,50.0,False,8
agent_1,Foraging,[23 21],75,50.0,False,9
agent_2,Foraging,[18 22],75,50.0,False,7
agent_3,Foraging,[19 19],75,50.0,False,8
agent_4,Foraging,[19 22],75,50.0,False,8
agent_5,Foraging,[25 20],75,50.0,False,2
agent_6,Foraging,[20 18],75,50.0,False,8
agent_7,Foraging,[19 21],75,50.0,False,8
agent_8,Foraging,[18 21],75,50.0,False,7
agent_9,Foraging,[19 20],75,50.0,False,8
agent_0,Foraging,[18 23],74,50.0,False,7
agent_1,Foraging,[24 21],74,50.0,False,5
agent_2,Foraging,[17 22],74,50.0,False,7
agent_3,Foraging,[18 19],74,50.0,False,7
agent_4,Foraging,[18 22],74,50.0,False,7
agent_5,Foraging,[26 20],74,50.0,False,1
agent_6,Foraging,[19 18],74,50.0,False,7
agent_7,Foraging,[19 22],74,50.0,False,7
agent_8,Foraging,[19 21],74,50.0,False,7
agent_9,Foraging,[19 20],74,50.0,False,7
agent_0,Foraging,[17 23],73,50.0,False,7
agent_1,Foraging,[25 21],73,50.0,False,2
agent_2,Foraging,[17 22],73,50.0,False,7
agent_3,Foraging,[17 19],73,50.0,False,7
agent_4,Foraging,[18 22],73,50.0,False,7
agent_5,Foraging,[27 20],73,50.0,False,1
agent_6,Foraging,[18 18],73,50.0,False,7
agent_7,Foraging,[19 22],73,50.0,False,7
agent_8,Foraging,[20 21],73,50.0,False,7
agent_9,Foraging,[19 21],73,50.0,False,7
agent_0,Foraging,[16 23],72,50.0,False,7
agent_1,Foraging,[26 21],72,50.0,False,1
agent_2,Foraging,[17 23],72,50.0,False,7
agent_3,Foraging,[16 19],72,50.0,False,7
agent_4,Foraging,[17 22],72,50.0,False,7
agent_5,Foraging,[27 21],72,50.0,False,1
agent_6,Foraging,[17 18],72,50.0,False,6
agent_7,Foraging,[18 22],72,50.0,False,7
agent_8,Foraging,[20 21],72,50.0,False,8
agent_9,Foraging,[18 21],72,50.0,False,7
agent_0,Foraging,[16 24],71,50.0,False,6
agent_1,Foraging,[25 21],71,50.0,False,1
agent_2,Foraging,[16 23],71,50.0,False,7
agent_3,Foraging,[15 19],71,50.0,False,7
agent_4,Foraging,[17 23],71,50.0,False,7
agent_5,Foraging,[28 21],71,50.0,False,1
agent_6,Foraging,[16 18],71,50.0,False,5
agent_7,Foraging,[17 22],71,50.0,False,7
agent_8,Foraging,[19 21],71,50.0,False,8
agent_9,Foraging,[18 22],71,50.0,False,7
agent_0,Foraging,[15 24],70,50.0,False,6
agent_1,Foraging,[24 21],70,50.0,False,2
agent_2,Foraging,[16 24],70,50.0,False,6
agent_3,Foraging,[15 20],70,50.0,False,7
agent_4,Foraging,[16 23],70,50.0,False,7
agent_5,Foraging,[29 21],70,50.0,False,1
agent_6,Foraging,[15 18],70,50.0,False,5
agent_7,Foraging,[17 23],70,50.0,False,7
agent_8,Foraging,[19 22],70,50.0,False,8
agent_9,Foraging,[18 23],70,50.0,False,7
agent_0,Returning to Base,[15 25],69,50.0,True,6
agent_1,Foraging,[24 20],69,50.0,False,1
agent_2,Foraging,[15 24],69,50.0,False,6
agent_3,Foraging,[15 21],69,50.0,False,7
agent_4,Foraging,[15 23],69,50.0,False,7
